,text,label
0,(현재 호텔주인 심정) 아18 난 마른하늘에 날벼락맞고 호텔망하게생겼는데 누군 계속 추모받네....,1
1,....한국적인 미인의 대표적인 분...너무나 곱고아름다운모습...그모습뒤의 슬픔을 미처 알지못했네요ㅠ,0
2,"...못된 넘들...남의 고통을 즐겼던 넘들..이젠 마땅한 처벌을 받아야지..,그래야, 공정한 사회지...심은대로 거두거라...",1
3,"1,2화 어설펐는데 3,4화 지나서부터는 갈수록 너무 재밌던데",0
4,10+8 진짜 이승기랑 비교된다,0
5,10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음,0
6,10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..,0
7,12월이나 1월이더 결혼성수기지 5월은 여름이라 비수기에속한다,0
8,13살 차이면 요즘 세상에 놀랄일도 아니네요,0
9,15년생인 울아들은 유모차 안타는데,0
10,166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄,0
11,17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다,0
12,180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함,0
13,18키로감량을해야박수쳐주지 그냥 먹고싶은거다먹고디비져자고하면 18키로는그냥쪄,1
14,1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.,0
15,19에서15로 바뀌고 망트리 탄거...,0
16,1년전인가 둘이 연남동 술집에서 술마시는거 봤는데 이제야 기사뜨는구나,0
17,1박2일 재미없고 이제 부도덕한것만 생각나요. 폐지하세요 학부모입장에서폐지비랍니다,0
18,1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더만 ㅋㅋ,0
19,1억도 안아깝다 ☝️☝️☝️☝️☝️☝️☝️,0
20,"1일1식보단 아침,점심만 먹고 저녁은 꾸준히 공복유지 하는게 건강에 더 좋은듯",0
21,1일1식은 난 못하겠네 흐흐 한상진씨 연기잘함,0
22,1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고,0
23,2%로도 안되는 시청율 ㅎㅎ 연기도 못하더만 이거 때문에 북을 못가? ㅎㅎ,0
24,2002년도 여름에 봤는데 서지영이랑 스포츠카타고온거...18년전이네 ㅎㅎ,0
25,2006년 포도밭그사나이에서 흰가운입은 연구원 정소영봐라~!!솔까 대한민국 여배우중에 최고로 이쁘고 단아했다~!!! 급식충들은 멋도모르고 윤아 아이유 떠들겠지만..,1
26,2016년 사진이래요 ㅋ,0
27,2018년 마마 진정한 승자 화사,0
28,2020년이 올거같냐 영배야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
29,206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요,0
30,20년연애 너무 멋져요 !! 이제 결혼하셔서 행복한 가정이루시길,0
31,20년째 열애중? 너무 길다.,0
32,21C에 주술사랑 ...,0
33,26년 최수종님처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌,0
34,290억 아니고?,0
35,29살까지 온갖 수단 다 동원해서 입대 연기하며 발악하다가 어쩔수없이 끌려가는게 머가 대단하다고 오바질이야 ㅋㅋ,1
36,2박2일은 뭐니? 기레기야,1
37,33살이 청년임? 아저씨아님?,1
38,38세48세로 잘못적은거아닌가ㅋㅋㅋㅋ할정도로 동안이네요~~~,0
39,39세라고 나와있구만 ㅡㅡ 양세종은 20대 아님???,0
40,3명중에 최종훈이 제일 잘생겼네요♡,0
41,"3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!",0
42,3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.,0
43,40대 아줌마 지들 자식들은 피씨방에 있고 엄마들은 방탄 동영상 처보고 있다고 생각해봐라 그래놓고 경포대 문재인 아몰랑 지지하고 어후 토나와,1
44,"45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에 갚는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에 얼마 번다는거야 ㅋㅋ",0
45,47kg면 내 몸무겐데 난 소멸되겠다.ㅎㅎ,0
46,52도 빼야되냐,0
47,52면 날씬한건데..,0
48,52키로 딱 좋앙~~~,0
49,53살 아빠면 어때 아빠가 곽부성인데.... 축하해요,0
50,"60만원으로 무슨 5억 피해입은 마냥 폭로하는 놈도 그렇고, 60만원을 안 갚고 쌩깠던 매니저 놈도 그렇고.. 참 안습이다.. 인간들 요즘 왜 그런지 참 ㅉㅉ... 신상털기, 먼지털기가 인생 낙인갑다..",0
51,60에서 14면티가나는데 120에서 14면 흠,0
52,6월 29일 전미선에 이어 7월 31일 박일 성우님... 올해 몇번째 연예계 비보가 내려오는 거죠?,0
53,79년생 하하 아직도 초딩캐릭터 아냐? 김종민도 그렇고 어른 이미지로 가는거 별로 안좋아할텐데,0
54,90년대일을 이제와서 웨꺼내구 그러시는지 사실맞는지두 확인안되구 참,0
55,? 대세배우 ?,0
56,???그냥 눈화장 색이 변한거 같은데.. 뭐가 달라진거죠??톤만 좀 연해진거 같은데..,0
57,Edm 천재 박명.수,0
58,HOT 팬들은 사람죽일 정도로 극성이였다든데,1
59,JYP에서 연습생 한 3년은 해라,0
60,KBS 주말드라마 인가요?,0
61,M&A전문가란 직업이 있어요?^^PF금융업억 종사하는데 저런 직업은 처음.ㅋ,0
62,Mbc 주말 드라마 다시했으면 ㅠㅠ,0
63,No no japan!!! 필요없다,1
64,OOO들 모임이네. 뉴스에1분도 못나오는 뒷방3류아나라 잃을것도업시 친문좌파 방송국설립하려고 아나퇴사하고 개쌉친아나들. 와꾸만 번지르하고 속은맘충들과동급. 소신지키고 아나로서 소명을다한 배현진이 새삼 이쁘다,1
65,SBS뉴스는 연예가중계냐? 연예인 아니면 기사 쓸거 없어?,0
66,SE$ 아닌가요 이제 Sea Eugene $hoo,1
67,SM에 핍박 당하고 여기서 다 끝났다고 생각하십니까? 인생은 항상 반전이 있습니다 무죄로 밝혀지면 이제는 배우로 열심히 활동하면 됩니다!,0
68,SNS올리는 건 문제 아닌데 이걸 기사로 만들어진다는 게 문제 아닐까?ㅋㅋ,0
69,Xx같은 한국 x 같은법 이라는 승리놈하고 클럽 뭐 어쩌고 관련잇던애 아니엇나? 그런데 얼쩡거리고 드나들던애들 연예계 방송가에서 퇴출하지? 여자연예인들이 인물이 그리도 없어? 내가 추천 좀해주까?,1
70,Yg가 망하면 안되는이유 걸그룹 독보적 원톱 블랙핑크 때문이라도 흥해야함,0
71,bts 이제 한개씩터지는구나,0
72,bts가 짱이지,0
73,cg겠지 저걸 실제로 했을까,0
74,dna가 좋아서 기대했는데 페이크러브 정말 실망.. 좋다는 사람들 방탄팬이라는 입장 떠나서 만일 신인그룹이 같은 노래 불렀다 쳐도 과연 좋다고 할 수있나?? 뮤비는 오글거리고..,0
75,ebs에서는 장난이라고 서로 때리고 욕하고 하나 봐요 누가 입사하고 싶어 하나요?,0
76,fm대행진은 kbs아나운서들만 하는줄알았는데..,0
77,jyp 구내식당 진짜 모든회사들중에서 갑이더라,0
78,life*니같은 개돼지가있어서 개한민국이 엉망진창인거야.주제를알아야지.일베충만큼 개돼지인 문베충 나라 문화 방송말아먹는 쓰레기들,1
79,mbc 요즘 일반인들 섭외 ㅈㄴ하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한심,1
80,mc 몽은 욕하면서 약쟁이는 칭찬하냐? 반칙으로 딴 메달이 무슨 정당성이 있다고. 에휴.. 개.돼지들.,1
81,sns로 열애인정해서 맞은거아녀????,0
82,sun2**** 무슨 천명훈을 말도 없이하차 시켜요 천명훈 까리는거 방송에 나왔습니다,0
83,tvn은 진짜 또 걸리냐 ㅋㅋㅋ 불쌍하다..,0
84,ubd 안마 제이튠 주식 먹튀 ㅆㄹㄱ,1
85,y2k 고재근 선생인 줄 만 알았다^^,0
86,yg 이사지만 저 사람은 좋은 사람일 수도 있겠지. 확실한 건 잠잠하다가 소속사 이미지 바닥치니까 계속 여기저기 나오고 기사 뜨는 건 기분탓이 아닐걸. 그런건 별로임.,0
87,~내나이 쉰네살인데 순간순간 옛기억이 떠오를때 부끄러워 나혼자 몸이 오그라들때가 있는데 ~공배우님도 그런 느낌 아닌까요~,0
88,~한ㅅ희 나오고 나서 전혀 독특해 보이지 않음 그리고 설리가 잘못한것도 없고ㅡㅡ,0
89,‘노무현’하지 않은게 다행이네요,1
90,●그러고보면 홍상수 김민희는 진짜 예쁜사랑 하는거였구나●,0
91,★속보★!!!! ㅈ됐다~~!!!! 국민가수 조용필도 빨갱이다~~ 마!! 조용필이 저거 고향이 으데고?? 전라도 아이라 카이??,1
92,"♥기사에서 윤총경, 승리 다 전라도 동향으로 서로 술먹고, 골프하고 승리외 운영술집 영업정지외 계속 봐주고 . 태어나지 말고 분리되어야할 절라도♥",1
93,♨ 그래도 반성 한거 같은데 그냥 넘어가든가 ..,0
94,ㄴㅏ경원 미모 봐라. 실화냐?,0
95,ㄴ와 약쟁이 ^^,1
96,ㅁㅊ 약쟁이 슬슬 기어나오시구요~,1
97,ㅅㅂ 모르고저런거지 알고 저랬겠냐 꼰대 새키들 드럽게 말많네 ㅋㅋㅋ,1
98,ㅅㅅ는 언제 하셨나요?,1
99,ㅆ성과들과 비교가 안되는 자연미 너무 좋다.거의 이영애배우급 미모.,1
100,ㅇㄴㅇ 맴버중 한명은 친할법한데 ..ㅇㅅㅇ 라던지... 무슨일이 있었던거냐,0
101,ㅇ정보부에서 조사하나봐요 .. 승리 곧 자살하겠네 아니..경찰이 질소넣고 자살했다고 하겠네..,1
102,ㅈ 라인이 너무 이쁘다,1
103,ㅈㄴ 작위적인느낌,0
104,ㅈㄹ병들 사기를치던 절도를하던 깜방서 있어봐라 하루라도 빨리 나오고 싶은게 인간에 본성이다죄는미워하고 사람은 똑같다,1
105,ㅈㄹ염병..ㅋㅋ재산이 1조인데 천억안내고 머리굴리다가 꼬시고 오지다,0
106,ㅈㅇ과 이별한 아별,1
107,ㅉㅉ 아빠 없이 무슨.... 친가 뿌리와 족보는 제대로 알려주고 키울지 걱정이구먼,1
108,ㅉㅉ 하여간 지가망하면 남탓하고보는 한국사람들은 이래서 안돼 한국은 평생후진국이다대표적인 예로 문재앙,1
109,ㅉㅉㅉ 서로 원하는거 충전 얼마나 갈지,0
110,ㅊㅈ만나고나서 많이 바뀌긴했짘ㅋㅋㅋㅋㅋ,0
111,ㅋㅋ 문재앙 이제 하다하다 박명수 한테도 욕먹네 ㅋㅋㅋ,1
112,ㅋㅋ 역시 1화 방영후 말들이 많네 참고로 미스터션샤인도 1화 나오고 재미없다느니 이해가 안간다느니 말이 많았는데ㅋㅋㅋ 적어도 4회분량 까진 보고 말하자,0
113,ㅋㅋ 작가 소설과 연기자들 연기에 놀아나는꼴이 개꿀쟁이네,0
114,ㅋㅋ 첫 열애 기사 떴을 때 베뎃 전부 다 단톡방 내용이었는데 글쓴 애들 쫄리겠네ㅋㅋ 제발 선처 해주지 않았으면 좋겠다,0
115,ㅋㅋㅋ 2018년도 재미지네~~결국 진흙탕속으로~ ㅋㅋㅋ,0
116,ㅋㅋㅋ 41살에20살이랑결혼한다데니 김새론영입하누 영계킬러ㅋㅋㅋ 사촌형 ㅇㅈㄹㅋㅋ후전드냐ㅋㅋ,1
117,ㅋㅋㅋ 그냥 빼도 못생긴건 여전한데 뭐라는거야 자기들끼리 훈훈거려 ㅌㅋㅋ,1
118,ㅋㅋㅋ 드라마 ㅆ노잼.좀비들 퀄리티 무엇?ㅋㅋㅋ 다신안본다.,0
119,ㅋㅋㅋ 저런것도 정신병임. 정신과상담받으세요,1
120,ㅋㅋㅋ 츄 ㅋㅋㅋ 짠내투어에서 봤다 ㅋㅋㅋㅋㅋ 정말 해맑드라 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
121,ㅋㅋㅋ 한국에서 더러운 불체자 태국넘들 개많은데 그 쉐리들도 일단 깜방보내자ㅋㅋㅋ,1
122,ㅋㅋㅋㅋㅋ 개그맨 하셔도 되겠습니다 올해 들은 개그중 최고로 웃겼습니다,0
123,ㅋㅋㅋㅋㅋ 다 알고있지 .. 이제 러브라인은 누구로하지??? 김종국 전소민우로 하자 ㅋㅋㅋㅋㅋㅋㅋㅋ 광수야 헤어지면 다시 러브라인만들어줄게 ㅋㅋㅋ 나혼자산다 전현무 한혜진 처럼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ다시 돌아와,0
124,ㅋㅋㅋㅋㅋ 정존물 ㅋㅋㅋㅋㅋ,1
125,ㅋㅋㅋㅋㅋ 티비조선 천사네 ㅋㅋ 50퍼센트 가져가도 되는데 25퍼센트면 혜자지,0
126,ㅋㅋㅋㅋㅋㅋㅋㅋ 면허증 개같이땄넼ㅋㅋㅋㅋㅋㅋㅋ,1
127,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 앞으로 여차하면 한서희를 정신병자로 만들수도 있다는 말로 들린다... 더러븐 yg,,, 제발 상장폐지 되기를...",1
128,ㅋㅋㅋㅋㅋㅋㅋㅋ정말 다 짱,0
129,ㅋㅋㅋㅋㅋㅋㅋ남욕하기전에 늬들 집구석이랑 인성부터 뒤돌아보고 댓글써라 아 그리고 전신거울도ㅇㅇ,1
130,ㅋㅋㅋㅋㅋㅋ마 서빙은 누가하노 정신차리고 퍼뜩온나,0
131,ㅋㅋㅋㅋ당당하게가 아니라 막나가는거지,0
132,ㅋㅋㅋㅋ또 신고하겟다는 기사올라오겟네 ㅋㅋㅋㅋㅋ법적대응한다고 ㅋㅋㅋㅋ,0
133,ㅋㅋㅋㅋ재미로 사람인생을 조지려 햇다는거내.... ㅋㅋㅋ법이 이따구로 벌금 맥이고 끝내니깐 재미로 저러지....남의 인생 조지려 햇던 저분들 인생 조져 주새요....,1
134,ㅋㅋㅋㅋ차유람 세뇌당해서 예수쟁이됨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
